,Status,Address,City,Price,Property Type,Sub-Type,Building Size,Link,Year Built,Lot Size,Building Class,Cap Rate
1875,For Sale,"4757-4765 Hayes Rd, Madison, WI","Madison, Wisconsin",Price Upon Request,Hospitality,Hotel,"52,236 SF",https://www.loopnet.com/Listing/4757-4765-Hayes-Rd-Madison-WI/14030050/,,,,
1876,For Sale,"200 S Adams St, Green Bay, WI","Green Bay, Wisconsin",Price Upon Request,Retail,Bank,"28,624 SF",https://www.loopnet.com/Listing/200-S-Adams-St-Green-Bay-WI/6365431/,,,B,
1877,For Sale,"100 E Cady St, Watertown, WI","Watertown, Wisconsin","$1,300,000",Retail,Storefront Retail/Residential,"12,760 SF",https://www.loopnet.com/Listing/100-E-Cady-St-Watertown-WI/23329320/,,,C,
1878,For Sale,"790 Carmichael Rd, Hudson, WI","Hudson, Wisconsin",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/790-Carmichael-Rd-Hudson-WI/20984535/,,"197,762 SF",,
1879,For Sale,"400 Mueller Dr, Bonduel, WI","Bonduel, Wisconsin","$21,450",Land,Commercial,,https://www.loopnet.com/Listing/400-Mueller-Dr-Bonduel-WI/12194562/,,"93,436 SF",,
1880,For Sale,"712 Riverfront Dr, Sheboygan, WI","Sheboygan, Wisconsin","$549,000",Office,Office,"12,000 SF",https://www.loopnet.com/Listing/712-Riverfront-Dr-Sheboygan-WI/22693741/,,,,10.10%
1929,For Sale,"1323-1451 Dewar Dr, Rock Springs, WY","Rock Springs, Wyoming","$17,900,000",Retail,Retail,"161,320 SF",https://www.loopnet.com/Listing/1323-1451-Dewar-Dr-Rock-Springs-WY/23271110/,,,,7.73%
1930,For Sale,"851 Werner Ct, Casper, WY","Casper, Wyoming","$4,500,000",Office,Office,"54,112 SF",https://www.loopnet.com/Listing/851-Werner-Ct-Casper-WY/17094304/,,,C,
1931,For Sale,"1975 Foothill Blvd, Rock Springs, WY","Rock Springs, Wyoming","$299,000",Land,Commercial,,https://www.loopnet.com/Listing/1975-Foothill-Blvd-Rock-Springs-WY/14252163/,,"36,590 SF",,
1932,For Sale,"416 W Fox Farm Rd, Cheyenne, WY","Cheyenne, Wyoming","$269,000",Land,Commercial,,https://www.loopnet.com/Listing/416-W-Fox-Farm-Rd-Cheyenne-WY/6552362/,,"47,916 SF",,
1933,For Sale,"1225 Dell Range Blvd, Cheyenne, WY","Cheyenne, Wyoming",Price Upon Request,Retail,Freestanding,"29,925 SF",https://www.loopnet.com/Listing/1225-Dell-Range-Blvd-Cheyenne-WY/22789805/,,,B,
1934,For Sale,"560 Running W Dr, Gillette, WY","Gillette, Wyoming","$720,000",Office,Medical,"3,600 SF",https://www.loopnet.com/Listing/560-Running-W-Dr-Gillette-WY/22417775/,,,B,
1935,For Sale,"313-315 W Lincolnway, Cheyenne, WY","Cheyenne, Wyoming","$850,000",Retail,Storefront Retail/Office,"7,017 SF",https://www.loopnet.com/Listing/313-315-W-Lincolnway-Cheyenne-WY/20509318/,,,C,
1964,For Sale,"2308 Tracy Pl NW, Washington, DC","Washington, District of Columbia","$4,999,000",Office,Office/Residential,"7,360 SF",https://www.loopnet.com/Listing/2308-Tracy-Pl-NW-Washington-DC/22645065/,,,C,
